Store,Owner,Restaurant Count,Weighted Quintile,Overall Rank,Overall Quintile,AUV L12M,Weekly AUV L12M,Comp Sales,Comp Traffic,YoY Off-Prem Sales Growth,Missing & Incorrect %,Google Rating L90D,BBI Overall L90D,BBI Food L90D,BBI Service L90D,BBI Ambiance L90D,BBI Value L90D,Complaint/10k Guest L12M,Latest RRA Score,Ignite % Complete,Diff Certified Managers,Average Daily Hours
7738: BORDENTOWN NJ,Pradeep K Massand,1,3.4,899,4,"$954,750.51 ","$18,360.59 ",3.02%,-1.43%,,3.37%,3.75,3.33,-28.57,42.86,-100,,0.829434989,38,92.31%,,14.42857143
7737: AVENEL NJ,Pradeep K Massand,1,3.35,860,4,"$2,049,358.69 ","$39,410.74 ",-2.56%,-6.31%,,2.42%,4.27,60.47,42.86,87.5,50,100,1.086121692,26,76.00%,,16.85714286
8694: CENTEREACH NY,Pradeep K Massand,1,3.25,801,4,"$1,360,716.80 ","$26,167.63 ",-0.99%,-1.53%,17.26%,3.58%,4,23.08,22.22,50,0,0,1.150350857,12,78.95%,,16.85714286
9574: Frederick MD,Anil Yadav,1,3.9,1123,5,"$1,558,357.78 ","$29,968.42 ",-2.36%,-4.81%,5.42%,3.96%,2.08,-21.43,-35.56,-18.75,11.11,-50,0.688901792,26,85.71%,,24
8693: BROOKVILLE PA,Anil Yadav,1,3.85,1119,5,"$1,098,843.51 ","$21,131.61 ",-12.80%,-14.24%,-11.54%,3.37%,1.67,-17.7,-13.46,-22.58,-33.33,,0.832235245,14,82.35%,,13
9561: Annapolis MD,Anil Yadav,1,3.85,1097,5,"$1,469,139.42 ","$28,252.68 ",-14.19%,-14.44%,-12.91%,4.89%,2.5,-69.7,-100,-70,,,1.486311075,6,88.24%,,15
9577: Carlisle PA,Anil Yadav,1,3.85,1097,5,"$1,247,148.50 ","$23,983.63 ",-6.47%,-9.37%,4.30%,4.65%,3.84,43.24,75,35.29,,50,1.868834515,12,66.67%,,19
9562: York PA,Anil Yadav,1,3.8,1078,5,"$1,711,479.94 ","$32,913.08 ",-6.82%,-6.77%,1.20%,5.03%,3.5,0,68.75,-15.38,0,50,1.581569444,9,86.36%,,24
8774: ESSINGTON PA,Anil Yadav,1,3.65,1015,5,"$1,681,172.56 ","$32,330.24 ",-7.00%,-8.07%,3.41%,8.27%,4,26.27,35.29,44.12,-80,0,1.777345394,47,100.00%,,24
8775: ALLENTOWN PA,Anil Yadav,1,3.6,1002,5,"$1,745,151.99 ","$33,560.62 ",-4.15%,-5.36%,6.07%,5.78%,4.35,37.66,21.43,35,,,0.904854545,21,94.44%,,22.07142857
9563: Johnstown PA,Anil Yadav,1,3.5,951,4,"$1,064,011.15 ","$20,461.75 ",5.80%,2.15%,15.45%,5.36%,4,-28.57,33.33,-100,,,1.841596401,23,81.82%,,15.57142857
9582: Hanover PA,Anil Yadav,1,3.3,838,4,"$986,543.33 ","$18,971.99 ",-4.35%,-3.32%,-1.30%,5.98%,3,-7.96,-28.21,-19.23,-75,50,3.383895599,12,100.00%,,20.42857143
9612: Altoona PA,Anil Yadav,1,2.5,273,2,"$2,987,420.64 ","$57,450.40 ",-1.07%,-1.55%,-2.35%,3.41%,4.83,68.21,45.65,84.09,100,33.33,1.096162003,21,100.00%,,24
9564: Mechanicsburg PA,Anil Yadav,1,2.15,91,1,"$1,290,963.70 ","$24,826.22 ",4.62%,2.54%,32.10%,3.63%,4.69,90,66.67,100,100,100,1.62144007,21,100.00%,,21.14285714
8810: HARTFORD CT,Herman Li,1,3.95,1129,5,"$1,467,251.93 ","$28,216.38 ",-5.45%,-6.91%,-3.93%,10.07%,2.64,-16.67,-16.67,-21.43,,,2.284972099,14,83.33%,,24
9211: JOHNSTON RI,Herman Li,1,3.65,1015,5,"$2,082,906.72 ","$40,055.90 ",3.52%,1.62%,14.25%,4.89%,4,-15.38,-70,100,0,,0.802407222,18,70.59%,,24
7208: SOUTHINGTON CT,Herman Li,1,3.6,1002,5,"$1,371,138.21 ","$26,368.04 ",-3.03%,-3.51%,4.70%,5.42%,3.38,0,0,-22.22,27.27,25,1.687241641,14,93.75%,,24
7614: HOLYOKE MA,Herman Li,1,3.5,951,4,"$1,764,091.55 ","$33,924.84 ",4.40%,2.50%,11.05%,5.63%,4.41,52.17,72.73,35.29,0,,0.779400446,29,71.43%,,24
9263: New London CT,Herman Li,1,3.25,801,4,"$1,278,614.16 ","$24,588.73 ",2.63%,-1.56%,-10.24%,5.71%,,,,,,,1.599255619,9,57.14%,,24
7583: WARWICK RI,Herman Li,1,3.1,711,3,"$1,671,485.73 ","$32,143.96 ",0.40%,-1.37%,10.08%,3.57%,4,16.28,-38.46,45.45,,100,0.975200648,12,86.67%,,24
9347: Attleboro MA,Herman Li,1,3.05,678,3,"$2,239,928.09 ","$43,075.54 ",-7.22%,-8.49%,-1.70%,4.90%,4,72,100,77.78,,100,1.211579673,4,95.65%,,24
9262: Fall River MA,Herman Li,1,2.9,563,3,"$1,479,717.14 ","$28,456.10 ",4.44%,1.42%,8.09%,4.97%,3.89,28.95,26.67,10.81,50,0,1.267850762,9,94.44%,,24
7224: ONEONTA NY,Abu Morshed,1,3.4,899,4,"$1,764,158.56 ","$33,926.13 ",-7.39%,-9.77%,-9.19%,2.44%,5,100,100,100,100,100,0.938086304,41,57.14%,,14.57142857
8853: CORTLAND NY,Abu Morshed,1,3.2,781,4,"$1,136,539.64 ","$21,856.53 ",6.39%,2.82%,24.01%,4.45%,4.27,72.5,47.06,100,100,100,1.306620209,42,65.00%,,14.28571429
7176: BANGOR ME,Gulinder S Gill,1,3.3,841,4,"$2,179,494.37 ","$41,913.35 ",-3.11%,-3.51%,5.33%,3.55%,3.8,43.18,14.29,50,100,50,0.82863772,14,44.44%,,16.57142857
6354: AUBURN ME,Gulinder S Gill,1,3.25,831,4,"$1,251,279.33 ","$24,063.06 ",-1.91%,-2.76%,6.60%,3.59%,3.5,0,30,-40,-16.67,0,0.393871362,10,61.11%,,16.57142857
8121: BUFFALO NY,Glenn A Beattie,1,4.25,1184,5,"$1,935,981.38 ","$37,230.41 ",-4.05%,-8.88%,-6.84%,7.49%,4.04,-43.51,-48.57,-34.38,0,0,2.167448393,31,88.46%,,22.85714286
8119: SYRACUSE NY,Glenn A Beattie,1,4,1139,5,"$2,076,971.60 ","$39,941.76 ",-7.60%,-11.77%,-18.55%,5.90%,3.29,3.39,33.33,23.53,-11.11,-100,1.137869096,29,100.00%,,24
